�(Nm),532,655,532,655,532,655,532,655,532,655
Distance(Cm),10,10,50,50,100,100,200,200,500,500
Time(s),Lux,Lux,Lux,Lux,Lux,Lux,Lux,Lux,Lux,Lux
1.9,17552.63281,24516.98047,21944.38477,27575.34375,311968.5313,27605.08594,199443.5313,17334.5332,1209.254883,8403.805664
1.95,17453.49609,24516.98047,21914.64453,27590.21484,311963.5938,27605.08594,202259.0156,17309.74805,920.470459,8392.867188
2,17398.9707,24531.84961,21934.4707,27619.95508,311958.625,27605.08594,204692.8125,17116.43164,1392.430176,8399.231445
2.05,17408.88477,24675.59766,21954.29883,27639.7832,311958.625,27605.08594,209724,17220.52539,3658.751221,8420.710938
2.1,17394.01367,24784.64844,21884.90234,27629.86914,311958.625,27605.08594,214105.8438,17260.17969,7203.520508,8416.335938
2.15,17403.92773,24953.18164,21949.3418,27590.21484,311958.625,27605.08594,215508.625,17220.52539,11100.71777,8403.408203
2.2,17408.88477,25067.1875,21860.11914,27500.99219,311958.625,27605.08594,220728.1719,16893.375,27421.68164,8375.364258
2.25,17418.79883,25205.97852,21874.98828,27372.11328,311953.6875,27605.08594,221451.8594,17027.20898,27312.63281,8426.876953
2.3,17443.58203,25235.7207,21840.29102,27268.02148,311953.6875,27605.08594,212093.3594,17017.29492,29121.875,8413.550781
2.35,17463.41016,25458.77734,21810.55078,27188.71094,311948.7188,27600.12891,209461.2969,17240.35352,29691.91016,8404.601563
2.4,17503.06445,25557.91406,21716.37109,27129.23047,311953.6875,27605.08594,196484.3125,17195.74023,29662.16992,8425.683594
2.45,17557.58984,25637.22266,21651.93164,26921.04297,311948.7188,27605.08594,200539,17017.29492,30866.67969,8425.285156
2.5,17537.76172,25627.31055,21265.29883,26539.36719,311948.7188,27605.08594,201515.4844,16908.24414,39972.37891,8417.130859
2.55,17562.54688,25800.79883,20898.49414,25974.28711,311948.7188,27605.08594,207607.4375,17051.99219,48379.16016,8395.452148
2.6,17592.28711,25845.41016,20630.82422,25319.98633,311948.7188,27600.12891,212118.1563,16868.58984,58000.36719,8420.511719
2.65,17582.37305,25894.97852,20526.73047,24987.87891,311948.7188,27600.12891,205352.0781,17047.03711,64464.07422,8370.591797
2.7,17592.28711,25964.375,20526.73047,24690.46875,311948.7188,27605.08594,200370.4688,17339.49023,73678.82031,8409.374023
2.75,17582.37305,25954.46094,21166.16211,24353.4043,311948.7188,27605.08594,191775.3125,17458.45313,72152.11719,8414.943359
2.8,17607.1582,25939.58984,21126.50781,24650.81445,311948.7188,27605.08594,195512.7656,17428.71289,72746.9375,8082.005859
2.85,17636.89844,26048.64063,21101.72266,24586.375,311943.75,27605.08594,183898.9219,17359.31641,61197.52344,8302.770508
2.9,17626.98633,26197.3457,21091.81055,24021.29688,311943.75,27605.08594,185202.5625,17359.31641,58729.02344,8311.124023
2.95,17612.11523,26246.91406,20957.97461,25042.4043,311943.75,27600.12891,188171.7031,17334.5332,52993.96875,8299.389648
